RE,constraint,gen_bus,carrier_names,pExp_sum
45%,Region Islanding 25%,4,offwind,3.995
45%,Region Islanding 25%,25,solar,1.82
45%,Region Islanding 25%,11,solar,0.364
45%,Region Islanding 25%,32,solar,11.704
45%,Region Islanding 25%,28,CCGT,0.672
45%,Region Islanding 25%,22,solar,62.58
45%,Region Islanding 25%,29,offwind,4.471
45%,Region Islanding 25%,10,offwind,0.748
45%,Region Islanding 25%,8,offwind,20.026
45%,Region Islanding 25%,31,offwind,9.741
45%,Region Islanding 25%,28,OCGT,0.224
45%,Region Islanding 25%,13,solar,0.868
45%,Region Islanding 25%,11,CCGT,0.448
45%,Region Islanding 25%,34,OCGT,0.448
45%,Region Islanding 25%,5,solar,2.94
45%,Region Islanding 25%,23,OCGT,0.448
45%,Region Islanding 25%,16,offwind,12.988
45%,Region Islanding 25%,23,solar,2.156
45%,Region Islanding 25%,11,offwind,0.544
45%,Region Islanding 25%,12,solar,33.068
45%,Region Islanding 25%,10,solar,1.008
45%,Region Islanding 25%,28,solar,1.204
45%,Region Islanding 25%,22,offwind,0.187
45%,Region Islanding 25%,11,OCGT,0.224
45%,Region Islanding 25%,20,solar,2.772
45%,SD Weighted Equal,33,offwind,2.261
45%,SD Weighted Equal,24,offwind,1.768
45%,SD Weighted Equal,14,offwind,0.068
45%,SD Weighted Equal,25,OCGT,0.224
45%,SD Weighted Equal,18,solar,4.536
45%,SD Weighted Equal,4,offwind,5.423
45%,SD Weighted Equal,22,solar,53.396
45%,SD Weighted Equal,29,offwind,9.401
45%,SD Weighted Equal,10,offwind,0.153
45%,SD Weighted Equal,8,offwind,16.898
45%,SD Weighted Equal,31,offwind,11.509
45%,SD Weighted Equal,28,OCGT,0.224
45%,SD Weighted Equal,13,solar,0.504
45%,SD Weighted Equal,14,onwind,0.57
45%,SD Weighted Equal,17,offwind,1.292
45%,SD Weighted Equal,23,OCGT,0.224
45%,SD Weighted Equal,16,offwind,12.886
45%,SD Weighted Equal,23,solar,3.276
45%,SD Weighted Equal,12,solar,22.232
