Options,Delta_P,H_Min,H_Sys,PG_1,PG_2,PG_3,PG_4,PG_Cost_1,PG_Cost_2,PG_Cost_3,PG_Cost_4,Total_cost,rocof,H_Weighted_Area_1,H_Weighted_Area_2,Delta_P_Area_1,Delta_P_Area_2,H_Area_1,H_Area_2,H_Min_Area_1,H_Min_Area_2
unit_commetment,1.0,2.5,3.0,8.999808866875261,5.931187593941332e-10,1.0373489895712598,-4.829925851400748e-9,4499.90443343763,7.117425112729598e-7,726.1442926998818,-9.659851702801496e-6,5226.048717189403,1.0,,,,,,,,
unit_commetment,2.0,5.0,3.0,8.99980886724331,2.180208903258348e-10,1.0373489903568343,-5.6085424245103414e-9,4499.904433621655,2.6162506839100173e-7,726.144293249784,-1.1217084849020682e-5,5226.048715915979,1.0,,,,,,,,
unit_commetment,3.0,7.5,3.0,8.000000057185025,5.895443213877596e-9,2.020900769158268,-2.7344079428534466e-9,4000.0000285925125,7.074531856653115e-6,1414.6305384107875,-5.468815885706893e-6,5414.630568609016,1.0,,,,,,,,
system_small_none,1.0,2.5,3.0,8.99980886687453,5.94609257408757e-10,1.0373489895641852,-4.823614684868101e-9,4499.904433437265,7.135311088905084e-7,726.1442926949296,-9.647229369736201e-6,5226.048717198496,1.0,,,,,,,,
system_small_none,2.0,5.0,5.483870967741935,8.999999969636638,1.861557001181439e-9,0.5371570970152626,0.49999999139860135,4499.999984818319,2.2338684014177265e-6,376.0099679106838,999.9999827972027,5876.009937760073,1.0,,,,,,,,
system_small_none,3.0,7.5,9.0,5.497038297490481e-9,8.999808883655092,7.118796622156672e-9,1.0373489543860708,2.7485191487452404e-6,10799.77066038611,4.9831576355096705e-6,2074.6979087721415,12874.468576889929,1.0,,,,,,,,
system_small_load,1.0,2.5,3.0,8.999808866493515,9.729825885189176e-10,1.0373489872616029,-2.5183943754532364e-9,4499.904433246757,1.1675791062227011e-6,726.144291083122,-5.0367887509064725e-6,5226.04872046067,1.0,3.0,3.0,,,,,,
system_small_load,2.0,5.0,6.142857142857143,8.500000000194472,0.49999999259740263,0.5371570787705466,0.49999999139860135,4250.000000097236,599.9999911168832,376.00995513938267,999.9999827972027,6226.009929150704,1.0,5.75,6.5,,,,,,
system_small_load,3.0,7.5,9.0,5.497038297490481e-9,8.999808883655092,7.118796622156672e-9,1.0373489543860708,2.7485191487452404e-6,10799.77066038611,4.9831576355096705e-6,2074.6979087721415,12874.468576889929,1.0,8.0,10.0,,,,,,
system_small_equal,1.0,2.5,3.0,8.999808866803136,6.632496217722344e-10,1.0373489899416946,-5.198369478893045e-9,4499.904433401568,7.958995461266812e-7,726.1442929591861,-1.039673895778609e-5,5226.048716759915,1.0,3.0,3.0,,,,,,
system_small_equal,2.0,5.0,6.142857142857143,8.500000000194472,0.49999999259740263,0.5371570787705466,0.49999999139860135,4250.000000097236,599.9999911168832,376.00995513938267,999.9999827972027,6226.009929150704,1.0,5.75,6.5,,,,,,
system_small_equal,3.0,7.5,9.0,5.497038297490481e-9,8.999808883655092,7.118796622156672e-9,1.0373489543860708,2.7485191487452404e-6,10799.77066038611,4.9831576355096705e-6,2074.6979087721415,12874.468576889929,1.0,8.0,10.0,,,,,,
system_large_area,1.0,2.5,3.0,5.600000032730487,2.0115265171887486e-8,4.400835986146243,-3.202898266468953e-9,2800.0000163652435,2.4138318206264982e-5,3080.58519030237,-6.405796532937906e-6,5880.585224400134,1.0,,,0.6000000528457523,0.5991640170566557,3.0,3.0,3.0000002642287615,2.9958200852832784
system_large_area,2.0,5.0,5.483870967741935,5.600000057325509,3.2269162141421085e-8,3.900835954835821,0.4999999913986014,2800.0000286627546,3.8722994569705306e-5,2730.5851683850747,999.9999827972028,6530.585218568027,1.0,,,0.6000000895946718,0.5991640537655778,3.0,6.5,3.000000447973359,2.995820268827889
system_large_area,3.0,7.5,9.0,8.643057165476428e-9,6.599999991041193,9.972823975359886e-9,3.405945115097747,4.3215285827382135e-6,7919.999989249432,6.98097678275192e-6,6811.890230195494,14731.890230747433,1.0,,,1.5999999996842496,1.5940548749294292,8.0,10.0,7.999999998421248,7.970274374647145
